CustomerID,recency,frequency,monetary,R,F,M,rfm_seg,rfm_score,label
12346,325,1,77183.6,1,1,4,114,6,rich
12347,1,7,4310.0,4,4,4,444,12,VIP
12348,74,4,1797.24,2,3,4,234,9,rich
12349,18,1,1757.55,4,1,4,414,9,other
12350,309,1,334.4,1,1,2,112,4,inactive
12352,35,8,2506.04,3,4,4,344,11,VIP
12353,203,1,89.0,1,1,1,111,3,inactive
12354,231,1,1079.4,1,1,3,113,5,other
12355,213,1,459.4,1,1,2,112,4,inactive
12356,22,3,2811.43,4,3,4,434,11,VIP
12357,32,1,6207.67,3,1,4,314,8,other
12358,1,2,1168.06,4,3,3,433,10,potential
12359,57,4,6372.58,3,3,4,334,10,potential
12360,51,3,2662.06,3,3,4,334,10,potential
12361,286,1,189.9,1,1,1,111,3,inactive
12362,2,10,5226.23,4,4,4,444,12,VIP
12363,109,2,552.0,2,3,2,232,7,active
12364,7,4,1313.1,4,3,3,433,10,potential
12365,290,2,641.38,1,3,3,133,7,active
12367,3,1,168.9,4,1,1,411,6,new
12370,50,4,3545.69,3,3,4,334,10,potential
12371,44,2,1887.96,3,3,4,334,10,potential
12372,71,3,1298.04,3,3,3,333,9,potential
12373,310,1,364.6,1,1,2,112,4,inactive
12374,24,1,742.93,3,1,3,313,7,other
12375,10,2,457.5,4,3,2,432,9,active
12377,314,2,1628.12,1,3,3,133,7,active
12378,129,1,4008.62,2,1,4,214,7,rich
12379,81,2,852.24,2,3,3,233,8,active
12380,21,4,2724.81,4,3,4,434,11,VIP
12381,4,5,1845.31,4,4,4,444,12,VIP
12383,184,5,1850.56,2,4,4,244,10,other
12384,28,2,585.27,3,3,2,332,8,active
12386,337,2,401.9,1,3,2,132,6,active
12388,15,6,2780.66,4,4,4,444,12,VIP
12390,79,1,549.84,2,1,2,212,5,inactive
12391,21,1,460.89,4,1,2,412,7,new
12393,71,4,1582.6,3,3,3,333,9,potential
12394,63,2,1272.48,3,3,3,333,9,potential
12395,18,12,3018.63,4,4,4,444,12,VIP
12397,35,2,2409.9,3,3,4,334,10,potential
12398,45,1,1635.66,3,1,3,313,7,other
12399,118,4,1108.65,2,3,3,233,8,active
12401,302,1,84.3,1,1,1,111,3,inactive
12402,322,1,225.6,1,1,1,111,3,inactive
12403,49,1,427.7,3,1,2,312,6,new
12405,148,1,1710.39,2,1,4,214,7,rich
12406,21,2,3415.3,4,3,4,434,11,VIP
12407,49,5,1708.12,3,4,4,344,11,VIP
12408,32,5,2888.55,3,4,4,344,11,VIP
12409,78,3,11072.67,2,3,4,234,9,rich
12410,308,2,693.33,1,3,3,133,7,active
12412,74,3,1226.88,2,3,3,233,8,active
12413,66,3,758.1,3,3,3,333,9,potential
12414,216,3,562.41,1,3,2,132,6,active
12415,23,21,124914.53,3,4,4,344,11,VIP
12417,2,9,3649.1,4,4,4,444,12,VIP
12418,112,1,668.58,2,1,3,213,6,other
12420,63,1,600.39,3,1,2,312,6,new
12421,15,4,807.04,4,3,3,433,10,potential
12422,95,3,803.56,2,3,3,233,8,active
12423,0,8,1859.31,4,4,4,444,12,VIP
12424,162,2,1760.96,2,3,4,234,9,rich
12425,77,1,777.2,2,1,3,213,6,other
12426,194,1,582.73,2,1,2,212,5,inactive
12427,21,3,825.8,4,3,3,433,10,potential
12428,25,9,7956.46,3,4,4,344,11,VIP
12429,8,4,3750.4,4,3,4,434,11,VIP
12430,42,1,256.4,3,1,2,312,6,new
12431,35,15,6487.45,3,4,4,344,11,VIP
12432,42,5,5059.32,3,4,4,344,11,VIP
12433,0,7,13375.87,4,4,4,444,12,VIP
12434,84,2,806.14,2,3,3,233,8,active
12435,79,2,7829.89,2,3,4,234,9,rich
12436,99,1,509.01,2,1,2,212,5,inactive
12437,1,18,4951.41,4,4,4,444,12,VIP
12438,13,2,2906.85,4,3,4,434,11,VIP
12441,366,1,173.55,1,1,1,111,3,inactive
12442,2,1,172.06,4,1,1,411,6,new
12444,20,5,5005.46,4,4,4,444,12,VIP
12445,21,1,133.4,4,1,1,411,6,new
12446,57,1,1002.31,3,1,3,313,7,other
12447,242,1,476.49,1,1,2,112,4,inactive
12448,43,1,449.45,3,1,2,312,6,new
12449,21,4,4067.29,4,3,4,434,11,VIP
12450,155,2,197.88,2,3,1,231,6,active
12451,10,5,9035.52,4,4,4,444,12,VIP
12452,16,2,430.57,4,3,2,432,9,active
12453,133,1,707.09,2,1,3,213,6,other
12454,55,1,3528.34,3,1,4,314,8,other
12455,72,6,2466.86,2,4,4,244,10,other
12456,43,3,3181.04,3,3,4,334,10,potential
12457,65,7,2363.23,3,4,4,344,11,VIP
12458,70,2,947.4,3,3,3,333,9,potential
12461,93,2,826.88,2,3,3,233,8,active
12462,18,2,1189.59,4,3,3,433,10,potential
12463,52,4,1344.78,3,3,3,333,9,potential
12464,9,8,1212.05,4,4,3,443,11,VIP
12465,16,2,742.19,4,3,3,433,10,potential
12468,187,2,729.54,2,3,3,233,8,active
12471,1,30,19824.05,4,4,4,444,12,VIP
12472,31,7,6572.11,3,4,4,344,11,VIP
12473,28,5,3938.55,3,4,4,344,11,VIP
12474,16,18,7375.79,4,4,4,444,12,VIP
12475,53,1,723.38,3,1,3,313,7,other
12476,15,11,6816.42,4,4,4,444,12,VIP
12477,22,6,13219.74,4,4,4,444,12,VIP
12478,3,1,680.99,4,1,3,413,8,other
12479,10,1,527.2,4,1,2,412,7,new
12480,27,4,3281.63,3,3,4,334,10,potential
12481,22,10,5596.32,4,4,4,444,12,VIP
12483,16,8,2484.98,4,4,4,444,12,VIP
12484,32,6,4541.72,3,4,4,344,11,VIP
12488,9,3,1298.66,4,3,3,433,10,potential
12489,335,1,334.93,1,1,2,112,4,inactive
12490,4,10,5417.93,4,4,4,444,12,VIP
12491,38,1,460.4,3,1,2,312,6,new
12492,62,2,263.21,3,3,2,332,8,active
12493,165,2,433.74,2,3,2,232,7,active
12494,15,7,1246.1,4,4,3,443,11,VIP
12497,81,1,1043.1,2,1,3,213,6,other
12498,20,3,403.7,4,3,2,432,9,active
12500,22,11,4257.82,4,4,4,444,12,VIP
12501,336,1,2169.39,1,1,4,114,6,rich
12502,95,5,3723.87,2,4,4,244,10,other
12504,17,2,482.05,4,3,2,432,9,active
12506,232,1,73.5,1,1,1,111,3,inactive
12507,133,3,1304.81,2,3,3,233,8,active
12508,25,2,398.27,3,3,2,332,8,active
12509,283,1,176.5,1,1,1,111,3,inactive
12510,142,2,982.57,2,3,3,233,8,active
12512,65,2,138.03,3,3,1,331,7,active
12513,112,1,612.29,2,1,2,212,5,inactive
12514,266,1,1017.68,1,1,3,113,5,other
12515,352,1,383.7,1,1,2,112,4,inactive
12516,77,2,1312.06,2,3,3,233,8,active
12517,27,5,2502.84,3,4,4,344,11,VIP
12518,0,5,2056.89,4,4,4,444,12,VIP
12519,63,1,340.84,3,1,2,312,6,new
12520,78,5,2634.26,2,4,4,244,10,other
12521,142,1,599.68,2,1,2,212,5,inactive
12522,38,2,192.72,3,3,1,331,7,active
12523,18,11,1789.77,4,4,4,444,12,VIP
12524,8,8,4485.72,4,4,4,444,12,VIP
12526,0,3,1316.66,4,3,3,433,10,potential
12527,81,3,348.71,2,3,2,232,7,active
12528,8,6,1933.48,4,4,4,444,12,VIP
12530,59,4,1662.28,3,3,4,334,10,potential
12531,14,1,125.22,4,1,1,411,6,new
12532,29,1,349.83,3,1,2,312,6,new
12534,130,1,1089.18,2,1,3,213,6,other
12535,91,2,716.35,2,3,3,233,8,active
12536,42,3,12601.83,3,3,4,334,10,potential
12538,28,1,363.95,3,1,2,312,6,new
12539,21,4,5568.35,4,3,4,434,11,VIP
12540,19,17,13400.24,4,4,4,444,12,VIP
12541,29,3,981.18,3,3,3,333,9,potential
12544,35,1,372.7,3,1,2,312,6,new
12545,74,2,1000.39,2,3,3,233,8,active
12546,46,2,1161.5,3,3,3,333,9,potential
12547,197,2,207.8,2,3,1,231,6,active
12548,165,1,95.2,2,1,1,211,4,inactive
12550,78,1,964.83,2,1,3,213,6,other
12551,357,1,168.0,1,1,1,111,3,inactive
12552,38,2,437.82,3,3,2,332,8,active
12553,7,10,3692.28,4,4,4,444,12,VIP
12556,49,2,603.71,3,3,2,332,8,active
12557,15,5,11990.96,4,4,4,444,12,VIP
12558,7,1,269.96,4,1,2,412,7,new
12559,310,2,561.71,1,3,2,132,6,active
12560,4,3,2134.01,4,3,4,434,11,VIP
12561,302,1,238.85,1,1,1,111,3,inactive
12562,7,7,3781.74,4,4,4,444,12,VIP
12564,260,1,456.9,1,1,2,112,4,inactive
12565,288,1,145.92,1,1,1,111,3,inactive
12566,85,1,351.65,2,1,2,212,5,inactive
12567,22,10,9401.28,4,4,4,444,12,VIP
12569,1,32,4124.69,4,4,4,444,12,VIP
12571,39,2,519.61,3,3,2,332,8,active
12572,8,2,1020.42,4,3,3,433,10,potential
12573,226,1,160.54,1,1,1,111,3,inactive
12574,315,1,218.45,1,1,1,111,3,inactive
12576,35,5,1315.83,3,4,3,343,10,potential
12577,34,3,657.8,3,3,3,333,9,potential
12578,20,2,2794.51,4,3,4,434,11,VIP
12579,77,1,440.42,2,1,2,212,5,inactive
12580,246,1,415.7,1,1,2,112,4,inactive
12581,39,1,197.71,3,1,1,311,5,new
12582,238,2,511.36,1,3,2,132,6,active
12583,2,15,7281.38,4,4,4,444,12,VIP
12584,3,9,2338.15,4,4,4,444,12,VIP
12585,233,2,2040.1,1,3,4,134,8,rich
12586,16,1,196.94,4,1,1,411,6,new
12587,7,1,144.0,4,1,1,411,6,new
12588,38,1,214.9,3,1,1,311,5,new
12589,28,2,646.68,3,3,3,333,9,potential
12590,210,2,9864.26,1,3,4,134,8,rich
12591,316,1,452.85,1,1,2,112,4,inactive
12592,91,2,437.6,2,3,2,232,7,active
12593,108,3,418.1,2,3,2,232,7,active
12594,37,10,3338.22,3,4,4,344,11,VIP
12596,50,2,618.27,3,3,2,332,8,active
12597,18,4,3811.22,4,3,4,434,11,VIP
12598,9,8,3023.08,4,4,4,444,12,VIP
12599,28,7,1032.58,3,4,3,343,10,potential
12600,28,10,2599.04,3,4,4,344,11,VIP
12601,189,5,577.06,2,4,2,242,8,active
12602,58,1,153.12,3,1,1,311,5,new
12603,21,1,739.2,4,1,3,413,8,other
12604,78,2,254.18,2,3,2,232,7,active
12607,59,1,1579.51,3,1,3,313,7,other
12609,77,3,1126.85,2,3,3,233,8,active
12610,22,5,2099.54,4,4,4,444,12,VIP
12611,51,1,1193.32,3,1,3,313,7,other
12612,73,1,704.04,2,1,3,213,6,other
12613,56,5,3344.38,3,4,4,344,11,VIP
12614,277,1,315.6,1,1,2,112,4,inactive
12615,1,4,2291.19,4,3,4,434,11,VIP
12616,94,2,713.3,2,3,3,233,8,active
12617,28,1,355.53,3,1,2,312,6,new
12618,21,1,177.31,4,1,1,411,6,new
12619,15,9,3641.24,4,4,4,444,12,VIP
12620,14,3,1339.41,4,3,3,433,10,potential
12621,1,20,13689.67,4,4,4,444,12,VIP
12622,231,1,180.1,1,1,1,111,3,inactive
12623,275,1,305.1,1,1,2,112,4,inactive
12624,105,2,641.13,2,3,3,233,8,active
12625,211,2,2683.82,1,3,4,134,8,rich
12626,22,9,6620.48,4,4,4,444,12,VIP
12627,10,7,4478.53,4,4,4,444,12,VIP
12628,3,3,786.46,4,3,3,433,10,potential
12630,9,2,1270.88,4,3,3,433,10,potential
12631,56,1,640.5,3,1,3,313,7,other
12633,58,4,2163.98,3,3,4,334,10,potential
12635,89,2,1689.18,2,3,4,234,9,rich
12637,66,8,6021.9,3,4,4,344,11,VIP
12638,32,1,671.69,3,1,3,313,7,other
12639,238,1,486.1,1,1,2,112,4,inactive
12640,23,3,1174.58,3,3,3,333,9,potential
12641,114,1,185.9,2,1,1,211,4,inactive
12642,24,3,1013.26,3,3,3,333,9,potential
12643,127,6,3344.64,2,4,4,244,10,other
